group_id	items_in_group	lo_value	p	FDR	goodsgrna
CTSL	7	6.9781e-14	2.3518e-06	0.004950	7
USP18	8	3.2330e-06	1.6462e-05	0.008663	7
CTSL1	8	3.5121e-06	1.6462e-05	0.008663	6
COMMD3	8	3.5654e-06	1.6462e-05	0.008663	5
ISG15	8	8.5649e-06	4.9387e-05	0.020792	7
PLSCR2	8	8.9101e-05	5.9030e-04	0.183168	3
GBP6	8	9.2220e-05	6.0911e-04	0.183168	5
MED12	8	1.1616e-04	7.5962e-04	0.199876	7
RRBP1	8	1.7173e-04	1.0889e-03	0.231188	7
GALNT2	8	1.7321e-04	1.0983e-03	0.231188	4
LPAR1	8	2.1851e-04	1.3993e-03	0.267777	7
PSMB9	8	2.5968e-04	1.6627e-03	0.291667	4
IARS	8	3.0694e-04	1.9825e-03	0.302640	8
CABP4	8	3.2123e-04	2.1001e-03	0.302640	7
ASPHD2	8	3.2948e-04	2.1566e-03	0.302640	7
SDS	8	3.6258e-04	2.3635e-03	0.309552	6
SLC23A3	8	3.8548e-04	2.4999e-03	0.309552	7
BCL3	8	4.4550e-04	2.9186e-03	0.341309	7
LAG3	8	7.4680e-04	4.5084e-03	0.499479	6
LDHAL6A	8	8.5371e-04	5.0775e-03	0.534406	6
SCARB2	8	9.8593e-04	5.7971e-03	0.581094	6
ZNF239	8	1.1115e-03	6.3992e-03	0.612286	6
TBX3	8	1.4939e-03	8.3606e-03	0.713031	5
HAMP	8	1.5146e-03	8.4923e-03	0.713031	7
GPC2	8	1.5349e-03	8.6381e-03	0.713031	7
TDRD7	8	1.7221e-03	9.5177e-03	0.713031	6
ZNF175	8	1.7301e-03	9.5553e-03	0.713031	7
CCDC50	8	1.8026e-03	9.9739e-03	0.713031	6
SERPING1	8	1.8914e-03	1.0416e-02	0.713031	6
GUCY1A3	8	1.9079e-03	1.0501e-02	0.713031	7
TNFRSF10A	8	2.0487e-03	1.1300e-02	0.743348	6
