sgrna	symbol	pool	p.high	prob	chosen
HGLibA_35944	LY6E	list	-13.7355829605	1	1
moffat_FTSJD2_2	FTSJD2	list	-13.4950903391	1	1
HGLibA_55670	STAT1	list	-13.3507637381	1	1
HGLibB_22663	IFNAR1	list	-12.1318562121	1	1
FHCRC_O_E_P_80	USP41	list	-12.0203090444	1	1
brunello_FITM1_4	FITM1	list	-11.2544429309	1	1
brunello_IRF9_3	IRF9	list	-11.0806901154	1	1
brunello_IFNAR1_4	IFNAR1	list	-10.3479334894	1	1
HGLibA_34692	LGMN	list	-10.1368877004	1	1
HGLibB_04072	BAG1	list	-9.65766126696	1	1
HGLibA_54862	SPDYA	list	-9.58833208027	1	1
HGLibB_51346	TRIM14	list	-9.30138070346	1	1
brunello_IFI6_1	IFI6	list	-8.88011345327	1	1
HGLibA_10232	CMTR1	list	-8.61132782963	1	1
brunello_LY6E_2	LY6E	list	-8.55590900371	1	1
brunello_RBKS_1	RBKS	list	-8.51985262467	1	1
HGLibA_48672	RASSF4	list	-8.48041747468	1	1
HGLibB_40263	RASAL2	list	-8.36086335007	1	1
HGLibB_57053	NonTargetingControlGuideForHuman_0025	list	-8.23856505695	1	1
brunello_AK4_3	AK4	list	-8.22711369346	1	1
HGLibA_12763	DDX60	list	-8.17910768307	1	1
brunello_MED18_4	MED18	list	-8.12132706988	1	1
HGLibA_21847	HAPLN3	list	-8.06439889752	1	1
brunello_LARP4_4	LARP4	list	-8.05204027167	1	1
brunello_CMTR1_2	CMTR1	list	-8.04767106198	1	1
HGLibB_42194	RRH	list	-8.0448059859	1	1
brunello_CCNG1_3	CCNG1	list	-7.9843438965	1	1
brunello_SLC37A2_2	SLC37A2	list	-7.97532445304	1	1
HGLibB_50966	TOR3A	list	-7.94419998013	1	1
HGLibA_34887	LIPA	list	-7.8963896301	1	1
brunello_BST2_3	BST2	list	-7.81575754435	1	1
brunello_STAT1_2	STAT1	list	-7.77036852145	1	1
HGLibA_63240	ZC3H12A	list	-7.7604018719	1	1
brunello_LY6E_1	LY6E	list	-7.74197363475	1	1
brunello_GJA3_3	GJA3	list	-7.69326238135	1	1
brunello_IFIT5_3	IFIT5	list	-7.68050589721	1	1
HGLibA_49376	RGS22	list	-7.65384660613	1	1
brunello_NAB2_1	NAB2	list	-7.64756084944	1	1
HGLibB_57043	NonTargetingControlGuideForHuman_0015	list	-7.63773364283	1	1
brunello_GART_3	GART	list	-7.62602538771	1	1
brunello_KCTD19_1	KCTD19	list	-7.59176907914	1	1
HGLibA_15650	EGR2	list	-7.58186661048	1	1
brunello_HIST2H2AA3_2	HIST2H2AA3	list	-7.5467064521	1	1
HGLibA_00835	ADAMTS6	list	-7.53251465192	1	1
HGLibA_22536	HIST2H2BF	list	-7.52180526268	1	1
brunello_IFNAR1_1	IFNAR1	list	-7.50614414025	1	1
HGLibA_20146	GJA4	list	-7.50116495416	1	1
brunello_LDHAL6B_2	LDHAL6B	list	-7.42207241525	1	1
brunello_CTTNBP2NL_2	CTTNBP2NL	list	-7.41117034501	1	1
HGLibB_11866	CXCL9	list	-7.41115860395	1	1
brunello_PLEKHA4_2	PLEKHA4	list	-7.36158408312	1	1
brunello_ABCB1_2	ABCB1	list	-7.32804470208	1	1
HGLibA_51731	42982	list	-7.32691724801	1	1
