group_id	items_in_group	lo_value	p	FDR	goodsgrna
STAT2	8	3.3518e-09	2.3518e-06	0.004950	8
LY6E	8	5.7154e-07	7.0553e-06	0.007426	8
IFNAR1	8	1.4278e-06	1.1759e-05	0.008251	6
STAT1	8	5.9777e-06	3.5277e-05	0.018564	7
IFI6	8	6.9243e-06	4.4684e-05	0.018812	8
DAXX	8	6.3031e-05	4.0686e-04	0.135078	8
CMTR1	8	7.0400e-05	4.4919e-04	0.135078	6
APOL6	8	1.9234e-04	1.2112e-03	0.283278	8
HERC5	8	3.8481e-04	2.4952e-03	0.459736	7
IQGAP2	8	4.2546e-04	2.7869e-03	0.459736	6
ATP1B1	8	4.7470e-04	3.1020e-03	0.459736	6
LAD1	8	4.7513e-04	3.1067e-03	0.459736	7
IRF9	8	5.0552e-04	3.2760e-03	0.459736	6
WHAMM	8	7.0072e-04	4.2497e-03	0.549505	6
FTSJD2	8	7.7885e-04	4.7294e-03	0.549505	6
KCTD19	8	8.1099e-04	4.8799e-03	0.549505	4
RHOB	8	8.2935e-04	4.9599e-03	0.549505	4
NonTargetingControlGuideForHuman_0025	1	1.2011e-03	1.2065e-03	0.283278	1
DUOX2	8	1.2945e-03	7.3822e-03	0.776980	6
SLC37A2	8	1.5280e-03	8.5958e-03	0.861622	3
HEY2	8	1.7431e-03	9.6682e-03	0.920501	6
KLK9	8	1.8277e-03	1.0153e-02	0.920501	4
SPSB1	8	2.1040e-03	1.1587e-02	0.920501	7
PYHIN1	8	2.1720e-03	1.1907e-02	0.920501	7
USP41	8	2.3350e-03	1.2631e-02	0.920501	4
CENPP	8	2.4403e-03	1.3205e-02	0.920501	7
NonTargetingControlGuideForHuman_0015	1	2.4997e-03	2.4811e-03	0.459736	1
RIN2	8	2.6723e-03	1.4381e-02	0.920501	3
CYP2J2	8	2.7391e-03	1.4696e-02	0.920501	7
TXNIP	8	2.8069e-03	1.5063e-02	0.920501	6
CD9	8	2.8417e-03	1.5232e-02	0.920501	7
FITM1	8	2.8532e-03	1.5336e-02	0.920501	2
PLAC4	8	2.9549e-03	1.5825e-02	0.920501	7
