id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
STAT2	8	1.0	1.0	0.999998	2105	0	0.67755	3.3518e-09	2.3518e-06	0.00495	1	8	0.67755
LY6E	8	0.99987	0.99988	0.999998	2102	0	0.80838	5.7154e-07	7.0553e-06	0.007426	2	8	0.80838
IFNAR1	8	0.9983	0.99824	0.999998	2098	0	0.3481	1.4278e-06	1.1759e-05	0.008251	3	6	0.3481
STAT1	8	0.9391	0.95354	0.999998	1995	1	0.43845	5.9777e-06	3.5277e-05	0.018564	4	7	0.43845
IFI6	8	0.99995	0.99995	0.999998	2104	0	0.65081	6.9243e-06	4.4684e-05	0.018812	5	8	0.65081
DAXX	8	0.99994	0.99993	0.999998	2103	0	0.31461	6.3031e-05	0.00040686	0.135078	6	8	0.31461
CMTR1	8	0.92229	0.94688	0.999998	1979	1	0.48542	7.04e-05	0.00044919	0.135078	7	6	0.48542
APOL6	8	0.99981	0.9998	0.999998	2101	0	0.25122	0.00019234	0.0012112	0.283278	8	8	0.25122
HERC5	8	0.99578	0.99581	0.999998	2092	0	0.38391	0.00038481	0.0024952	0.459736	9	7	0.38391
IQGAP2	8	0.9501	0.95845	0.999998	2007	1	0.39528	0.00042546	0.0027869	0.459736	10	6	0.39528
ATP1B1	8	0.82046	0.90516	0.999998	1866	2	0.36575	0.0004747	0.003102	0.459736	11	6	0.36575
LAD1	8	0.7458	0.86843	0.999998	1766	1	0.29079	0.00047513	0.0031067	0.459736	12	7	0.29079
IRF9	8	0.6041	0.79901	0.999998	1591	1	0.33838	0.00050552	0.003276	0.459736	13	6	0.33838
WHAMM	8	0.83516	0.91327	0.999998	1884	1	0.3477	0.00070072	0.0042497	0.549505	14	6	0.3477
FTSJD2	8	0.90317	0.94081	0.999998	1959	1	0.25202	0.00077885	0.0047294	0.549505	15	6	0.25202
KCTD19	8	0.1508	0.36685	0.999998	713	3	0.14484	0.00081099	0.0048799	0.549505	16	4	0.14484
RHOB	8	0.65014	0.82782	0.999998	1653	2	0.15046	0.00082935	0.0049599	0.549505	17	4	0.15046
NonTargetingControlGuideForHuman_0025	1	0.9988	0.99884	0.999998	2100	0	0.68573	0.0012011	0.0012065	0.283278	18	1	0.68573
DUOX2	8	0.99472	0.99483	0.999998	2088	0	0.36699	0.0012945	0.0073822	0.77698	19	6	0.36699
SLC37A2	8	0.99505	0.99512	0.999998	2089	0	0.058796	0.001528	0.0085958	0.861622	20	3	0.058796
HEY2	8	0.98851	0.98849	0.999998	2069	0	0.3332	0.0017431	0.0096682	0.920501	21	6	0.3332
KLK9	8	0.010598	0.046916	0.974597	95	2	0.049516	0.0018277	0.010153	0.920501	22	4	0.049516
SPSB1	8	0.96106	0.96468	0.999998	2021	1	0.23414	0.002104	0.011587	0.920501	23	7	0.23414
PYHIN1	8	0.83224	0.91167	0.999998	1878	1	0.28721	0.002172	0.011907	0.920501	24	7	0.28721
USP41	8	0.31486	0.57135	0.999998	1114	3	0.22689	0.002335	0.012631	0.920501	25	4	0.22689
CENPP	8	0.059918	0.18742	0.998784	384	1	0.32949	0.0024403	0.013205	0.920501	26	7	0.32949
NonTargetingControlGuideForHuman_0015	1	0.9975	0.99754	0.999998	2096	0	0.52108	0.0024997	0.0024811	0.459736	27	1	0.52108
RIN2	8	0.51789	0.73631	0.999998	1461	2	0.032541	0.0026723	0.014381	0.920501	28	3	0.032541
CYP2J2	8	0.46834	0.70058	0.999998	1389	1	0.1879	0.0027391	0.014696	0.920501	29	7	0.1879
TXNIP	8	0.76561	0.8775	0.999998	1793	1	0.30527	0.0028069	0.015063	0.920501	30	6	0.30527
CD9	8	0.99195	0.99189	0.999998	2078	0	0.31828	0.0028417	0.015232	0.920501	31	7	0.31828
FITM1	8	0.011046	0.04844	0.974597	97	5	-0.31764	0.0028532	0.015336	0.920501	32	2	-0.31764
PLAC4	8	0.81124	0.90024	0.999998	1856	1	0.27299	0.0029549	0.015825	0.920501	33	7	0.27299
TRIM5	8	0.84254	0.91749	0.999998	1892	2	0.28188	0.0030009	0.016098	0.920501	34	5	0.28188
NMRAL1	8	0.88405	0.93589	0.999998	1943	1	0.33409	0.0030724	0.016427	0.920501	35	7	0.33409
C5orf34	8	0.57283	0.77591	0.999998	1543	1	0.20616	0.0032846	0.017561	0.920501	36	7	0.20616
COL27A1	8	0.95483	0.96097	0.999998	2012	1	0.1646	0.0032886	0.017584	0.920501	37	7	0.1646
APOBEC3D	8	0.36175	0.62276	0.999998	1215	2	0.25761	0.0036038	0.019	0.920501	38	6	0.25761
C1orf74	8	0.9122	0.94356	0.999998	1966	1	0.20911	0.0036489	0.019226	0.920501	39	7	0.20911
MED18	8	0.22354	0.46068	0.999998	891	4	-0.081324	0.0039933	0.020938	0.920501	40	3	-0.081324
PIPOX	8	0.7555	0.8729	0.999998	1779	1	0.2865	0.0040615	0.021253	0.920501	41	6	0.2865
TRIM14	8	0.96849	0.96972	0.999998	2032	1	0.25916	0.0040995	0.021422	0.920501	42	7	0.25916
ZNF200	8	0.99032	0.9903	0.999998	2075	0	0.24297	0.0041386	0.021601	0.920501	43	7	0.24297
GJA3	8	0.33163	0.59092	0.999998	1157	1	0.19326	0.0041697	0.021766	0.920501	44	5	0.19326
