sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
HGLibA_35944	LY6E	4995.9	11449	4995.9	11449	1.1962	2.0821e+07	2.2072e+05	13.736	1	3.1077e-43	6.2154e-43	9.5804e-39	True
moffat_FTSJD2_2	FTSJD2	228.88	1353	228.88	1353	2.5583	6.3185e+05	6938.9	13.495	1	8.3827e-42	1.6765e-41	1.2921e-37	True
HGLibA_55670	STAT1	8926.2	17615	8926.2	17615	0.98057	3.7744e+07	4.2351e+05	13.351	1	5.862e-41	1.1724e-40	6.0238e-37	True
HGLibB_22663	IFNAR1	3662	8449.8	3662	8449.8	1.206	1.1461e+07	1.5574e+05	12.132	1	3.5804e-34	7.1608e-34	2.7594e-30	True
FHCRC_O_E_P_80	USP41	4354.6	9582.7	4354.6	9582.7	1.1377	1.3667e+07	1.8917e+05	12.02	1	1.3897e-33	2.7793e-33	8.568e-30	True
brunello_FITM1_4	FITM1	1005.3	3155.4	1005.3	3155.4	1.6492	2.3114e+06	36497	11.254	1	1.1011e-29	2.2021e-29	5.6573e-26	True
brunello_IRF9_3	IRF9	1523.2	4196	1523.2	4196	1.4613	3.5718e+06	58182	11.081	1	7.7834e-29	1.5567e-28	3.4278e-25	True
brunello_IFNAR1_4	IFNAR1	5068.9	9970.2	5068.9	9970.2	0.97582	1.2011e+07	2.2434e+05	10.348	1	2.1381e-25	4.2762e-25	8.2391e-22	True
HGLibA_34692	LGMN	9541.8	16390	9541.8	16390	0.78045	2.3452e+07	4.5645e+05	10.137	1	1.8949e-24	3.7898e-24	6.4907e-21	True
HGLibB_04072	BAG1	298.92	1233.3	298.92	1233.3	2.0411	4.3657e+05	9361.3	9.6577	1	2.2831e-22	4.5662e-22	7.0383e-19	True
HGLibA_54862	SPDYA	1034.9	2896.7	1034.9	2896.7	1.4841	1.7332e+06	37705	9.5883	1	4.476e-22	8.952e-22	1.2544e-18	True
HGLibB_51346	TRIM14	4205.6	8172.9	4205.6	8172.9	0.95836	7.8696e+06	1.8192e+05	9.3014	1	6.9317e-21	1.3863e-20	1.7807e-17	True
brunello_IFI6_1	IFI6	5716	10216	5716	10216	0.83758	1.0123e+07	2.5675e+05	8.8801	1	3.3396e-19	6.6792e-19	7.9195e-16	True
HGLibA_10232	CMTR1	3474.6	6774.2	3474.6	6774.2	0.96301	5.4438e+06	1.4682e+05	8.6113	1	3.611e-18	7.2219e-18	7.9513e-15	True
brunello_LY6E_2	LY6E	3368.1	6589.6	3368.1	6589.6	0.96807	5.1893e+06	1.4178e+05	8.5559	1	5.8472e-18	1.1694e-17	1.2017e-14	True
brunello_RBKS_1	RBKS	3247.7	6390.8	3247.7	6390.8	0.97637	4.9397e+06	1.361e+05	8.5199	1	7.9878e-18	1.5976e-17	1.5391e-14	True
HGLibA_48672	RASSF4	5437.8	9616.2	5437.8	9616.2	0.82232	8.7294e+06	2.4276e+05	8.4804	1	1.1219e-17	2.2439e-17	2.0345e-14	True
HGLibB_40263	RASAL2	3890.9	7304.7	3890.9	7304.7	0.90854	5.8269e+06	1.6671e+05	8.3609	1	3.113e-17	6.2261e-17	5.3316e-14	True
HGLibB_57053	NonTargetingControlGuideForHuman_0025	8662.8	13935	8662.8	13935	0.68573	1.3897e+07	4.095e+05	8.2386	1	8.7144e-17	1.7429e-16	1.4139e-13	True
brunello_AK4_3	AK4	2535.4	5176.8	2535.4	5176.8	1.0295	3.4884e+06	1.0308e+05	8.2271	1	9.5889e-17	1.9178e-16	1.478e-13	True
HGLibA_47411	PSMB9	6235	1871.3	6235	1871.3	-1.7358	9.5207e+06	2.8306e+05	8.2018	1.1841e-16	1	2.3682e-16	1.7382e-13	False
HGLibA_12763	DDX60	1610	3645.2	1610	3645.2	1.1784	2.071e+06	61916	8.1791	1	1.4298e-16	2.8595e-16	2.0035e-13	True
brunello_MED18_4	MED18	20.717	196.77	20.717	196.77	3.1869	15497	469.91	8.1213	1	2.7765e-16	5.553e-16	3.7214e-13	True
HGLibA_21847	HAPLN3	455.78	1444.3	455.78	1444.3	1.6618	4.8859e+05	15025	8.0644	1	3.6802e-16	7.3604e-16	4.7272e-13	True
brunello_LARP4_4	LARP4	1372.3	3204	1372.3	3204	1.2227	1.6777e+06	51752	8.052	1	4.0713e-16	8.1425e-16	4.9315e-13	True
brunello_CMTR1_2	CMTR1	1513.4	3447.5	1513.4	3447.5	1.1872	1.8704e+06	57759	8.0477	1	4.2192e-16	8.4384e-16	4.9315e-13	True
HGLibB_42194	RRH	2761.3	5470.9	2761.3	5470.9	0.98616	3.6709e+06	1.1344e+05	8.0448	1	4.3191e-16	8.6382e-16	4.9315e-13	True
brunello_CCNG1_3	CCNG1	1740.3	3815.6	1740.3	3815.6	1.1322	2.1536e+06	67564	7.9843	1	7.0636e-16	1.4127e-15	7.777e-13	True
brunello_SLC37A2_2	SLC37A2	2265.1	4668.6	2265.1	4668.6	1.0431	2.8885e+06	90824	7.9753	1	7.5991e-16	1.5198e-15	8.0781e-13	True
