sgRNA	gene	Lib_isg_ctrl	Lib_isg_sort
brunello_A2M_1	A2M	3216	2793
brunello_A2M_2	A2M	3932	3937
brunello_A2M_3	A2M	3803	4794
brunello_A2M_4	A2M	654	261
brunello_A4GALT_1	A4GALT	5150	4766
brunello_A4GALT_2	A4GALT	6692	7057
brunello_A4GALT_3	A4GALT	5682	3465
brunello_A4GALT_4	A4GALT	1907	1704
brunello_AARS_1	AARS	2865	4043
brunello_AARS_2	AARS	2159	2096
brunello_AARS_3	AARS	792	780
brunello_AARS_4	AARS	2776	2695
brunello_ABCA6_1	ABCA6	3936	2461
brunello_ABCA6_2	ABCA6	7551	6398
brunello_ABCA6_3	ABCA6	4339	6283
brunello_ABCA6_4	ABCA6	1183	1178
brunello_ABCA7_1	ABCA7	5335	6583
brunello_ABCA7_2	ABCA7	7439	7862
brunello_ABCA7_3	ABCA7	3411	3652
brunello_ABCA7_4	ABCA7	6042	4645
brunello_ABCB1_1	ABCB1	3743	3925
brunello_ABCB1_2	ABCB1	3767	6539
brunello_ABCB1_3	ABCB1	4975	5701
brunello_ABCB1_4	ABCB1	3268	3642
brunello_ABCD1_1	ABCD1	3457	3401
brunello_ABCD1_2	ABCD1	5901	4721
brunello_ABCD1_3	ABCD1	4008	4295
brunello_ABCD1_4	ABCD1	1963	2284
brunello_ABCG2_1	ABCG2	3907	2558
brunello_ABCG2_2	ABCG2	5357	5883
brunello_ABCG2_3	ABCG2	1098	980
brunello_ABCG2_4	ABCG2	3359	5721
brunello_ABL2_1	ABL2	3811	2285
brunello_ABL2_2	ABL2	2611	3015
brunello_ABL2_3	ABL2	2669	3298
brunello_ABL2_4	ABL2	1685	1141
brunello_ABLIM3_1	ABLIM3	3350	3343
brunello_ABLIM3_2	ABLIM3	4231	2012
brunello_ABLIM3_3	ABLIM3	10254	7619
brunello_ABLIM3_4	ABLIM3	3958	3409
brunello_ABTB2_1	ABTB2	4978	5740
brunello_ABTB2_2	ABTB2	3002	3512
brunello_ABTB2_3	ABTB2	5525	6624
brunello_ABTB2_4	ABTB2	5383	4092
brunello_ACAP1_1	ACAP1	1462	2609
brunello_ACAP1_2	ACAP1	3912	3165
brunello_ACAP1_3	ACAP1	4871	5198
brunello_ACAP1_4	ACAP1	2323	1559
brunello_ACE_1	ACE	2862	3318
brunello_ACE_2	ACE	3250	2397
brunello_ACE_3	ACE	1764	1121
brunello_ACE_4	ACE	2314	2517
brunello_ACHE_1	ACHE	1350	1876
brunello_ACHE_2	ACHE	3169	2910
brunello_ACHE_3	ACHE	2863	3885
brunello_ACHE_4	ACHE	2629	2368
brunello_ACOT13_1	ACOT13	4363	3528
brunello_ACOT13_2	ACOT13	3779	1905
brunello_ACOT13_3	ACOT13	1095	1570
brunello_ACOT13_4	ACOT13	3777	3566
brunello_ACOT9_1	ACOT9	2482	2613
brunello_ACOT9_2	ACOT9	4394	3721
brunello_ACOT9_3	ACOT9	2837	2741
brunello_ACOT9_4	ACOT9	3754	4248
brunello_ACRC_1	ACRC	855	663
brunello_ACRC_2	ACRC	4365	4160
brunello_ACRC_3	ACRC	7000	6544
brunello_ACRC_4	ACRC	5214	5872
brunello_ACSL1_1	ACSL1	4867	5598
brunello_ACSL1_2	ACSL1	2033	3978
brunello_ACSL1_3	ACSL1	1760	2822
brunello_ACSL1_4	ACSL1	5033	4729
brunello_ACSL4_1	ACSL4	5237	3024
brunello_ACSL4_2	ACSL4	2433	2378
brunello_ACSL4_3	ACSL4	6303	5929
brunello_ACSL4_4	ACSL4	2057	1773
brunello_ACSM5_1	ACSM5	4090	3290
brunello_ACSM5_2	ACSM5	1823	1825
brunello_ACSM5_3	ACSM5	5462	4996
brunello_ACSM5_4	ACSM5	5962	3951
brunello_ACTL10_1	ACTL10	1559	1091
brunello_ACTL10_2	ACTL10	5630	6121
brunello_ACTL10_3	ACTL10	6264	5726
brunello_ACTL10_4	ACTL10	4534	4639
brunello_ACVR2A_1	ACVR2A	5616	5053
brunello_ACVR2A_2	ACVR2A	879	1639
brunello_ACVR2A_3	ACVR2A	4187	3569
brunello_ACVR2A_4	ACVR2A	1514	1774
brunello_ADA_1	ADA	1459	1548
brunello_ADA_2	ADA	1914	1533
brunello_ADA_3	ADA	5517	5736
brunello_ADA_4	ADA	6327	7828
brunello_ADAM28_1	ADAM28	2878	4752
brunello_ADAM28_2	ADAM28	4573	4742
brunello_ADAM28_3	ADAM28	5494	5390
brunello_ADAM28_4	ADAM28	4519	3465
brunello_ADAMDEC1_1	ADAMDEC1	4776	4624
brunello_ADAMDEC1_2	ADAMDEC1	735	347
brunello_ADAMDEC1_3	ADAMDEC1	11329	8782
brunello_ADAMDEC1_4	ADAMDEC1	2318	2185
brunello_ADAMTS14_1	ADAMTS14	1340	2019
brunello_ADAMTS14_2	ADAMTS14	1417	731
brunello_ADAMTS14_3	ADAMTS14	3497	3187
brunello_ADAMTS14_4	ADAMTS14	3819	2611
brunello_ADAMTS6_1	ADAMTS6	1937	1460
brunello_ADAMTS6_2	ADAMTS6	3861	3736
brunello_ADAMTS6_3	ADAMTS6	3907	4309
brunello_ADAMTS6_4	ADAMTS6	3547	3339
brunello_ADAMTS7_1	ADAMTS7	1464	2189
brunello_ADAMTS7_2	ADAMTS7	3589	3683
brunello_ADAMTS7_3	ADAMTS7	138	22
brunello_ADAMTS7_4	ADAMTS7	3374	3490
brunello_ADAP2_1	ADAP2	2232	2592
brunello_ADAP2_2	ADAP2	1607	2631
brunello_ADAP2_3	ADAP2	2055	2560
brunello_ADAP2_4	ADAP2	2162	2318
brunello_ADAR_1	ADAR	2375	885
brunello_ADAR_2	ADAR	1427	1292
brunello_ADAR_3	ADAR	2665	3097
brunello_ADAR_4	ADAR	664	453
brunello_ADARB2_1	ADARB2	4790	3704
brunello_ADARB2_2	ADARB2	1561	1608
brunello_ADARB2_3	ADARB2	4420	3974
brunello_ADARB2_4	ADARB2	1589	1802
brunello_ADM_1	ADM	3908	4213
brunello_ADM_2	ADM	4866	3726
brunello_ADM_3	ADM	3672	2925
brunello_ADM_4	ADM	7638	10364
brunello_ADM2_1	ADM2	5547	4659
brunello_ADM2_2	ADM2	4697	2877
brunello_ADM2_3	ADM2	5698	5477
brunello_ADM2_4	ADM2	7156	6661
brunello_ADORA2A_1	ADORA2A	4471	3782
brunello_ADORA2A_2	ADORA2A	3244	2649
brunello_ADORA2A_3	ADORA2A	995	481
brunello_ADORA2A_4	ADORA2A	0	0
brunello_ADORA3_1	ADORA3	4495	4834
brunello_ADORA3_2	ADORA3	2532	3200
brunello_ADORA3_3	ADORA3	3768	2708
brunello_ADORA3_4	ADORA3	4001	4036
brunello_ADPRH_1	ADPRH	1210	1192
brunello_ADPRH_2	ADPRH	4721	4083
brunello_ADPRH_3	ADPRH	2259	2486
brunello_ADPRH_4	ADPRH	4221	4982
brunello_ADPRM_1	ADPRM	3096	4471
brunello_ADPRM_2	ADPRM	1906	2135
brunello_ADPRM_3	ADPRM	1827	2527
brunello_ADPRM_4	ADPRM	2547	3419
brunello_AEN_1	AEN	1998	1896
